priority,tic,toi,SC1A,SC1B,SC1C,SC1D,SC1E,SC2A,SC2Bi,SC2Bii,SC2C,SC3,SC4,TOA,TOB,total_time
1,130181866,1726,0.997,0.997,0.0,0.0,0.997,0.211,0.997,0.997,1.643,0.0,0.0,0.0,1.643,8.483
2,406672232,1263,1.105,1.105,1.105,0.0,1.105,0.38,1.105,1.105,0.0,0.0,0.0,0.0,1.82,8.83
3,142381532,1823,0.0,0.0,0.0,9.592,0.0,3.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.621
4,317548889,480,0.0,1.502,0.0,0.0,1.502,0.0,0.0,1.502,0.0,0.0,1.502,0.0,2.475,8.483
5,335499997,680,0.0,0.0,1.731,0.0,1.731,0.0,0.0,1.731,0.0,0.0,1.731,0.0,2.849,9.774
6,142276270,1136,0.0,0.0,0.0,0.0,1.285,0.43,1.285,1.285,2.114,1.285,0.0,0.0,2.114,9.797
7,237222864,1255,0.0,0.0,0.0,0.0,0.0,0.0,7.642,0.0,0.0,0.0,0.0,0.0,0.0,7.642
8,417948359,1272,0.0,0.0,0.0,0.0,0.0,0.0,18.568,0.0,0.0,0.0,0.0,0.0,0.0,18.568
9,63898957,261,0.0,1.365,1.365,0.0,1.365,0.0,0.0,1.365,2.246,0.0,0.0,0.0,2.246,9.954
10,177722855,971,0.0,2.968,2.968,0.0,2.968,0.0,0.0,2.968,0.0,0.0,2.968,0.0,0.0,14.842
11,285048486,1728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.342,0.0,0.0,0.0,28.342
12,69747919,1407,0.0,5.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.15
13,188768068,1462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.15,0.0,0.0,5.15
14,459978312,1487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.15,0.0,0.0,5.15
15,37749396,260,2.195,2.195,0.0,0.0,2.195,0.0,0.0,2.195,0.0,0.0,0.0,0.0,3.608,12.389
16,264678534,1611,0.0,0.0,0.0,0.0,1.729,0.45,1.729,1.729,0.0,0.0,0.0,0.0,2.848,8.483
17,153949511,1277,0.0,3.185,0.0,0.0,3.185,0.952,0.0,3.185,0.0,0.0,0.0,0.0,0.0,10.507
18,428679607,1669,0.0,2.227,2.227,0.0,2.227,0.677,2.227,2.227,0.0,0.0,0.0,0.0,3.656,15.47
19,164767175,266,1.911,1.911,0.0,0.0,1.911,0.0,0.0,1.911,3.139,0.0,0.0,0.0,3.139,13.923
20,377064495,561,1.498,1.498,1.498,0.0,1.498,0.454,1.498,1.498,2.459,1.498,0.0,0.0,2.459,15.856
21,306263608,1471,0.0,0.0,0.0,0.0,1.702,0.572,1.702,1.702,0.0,0.0,0.0,0.0,2.804,8.483
22,283474780,1490,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.575,0.0,0.0,2.575,0.0,0.0,5.15
23,288631580,1659,3.016,0.0,0.0,0.0,3.016,0.0,0.0,3.016,0.0,0.0,0.0,0.0,4.953,14.002
24,15863518,1713,0.0,0.0,8.209,0.0,0.0,0.0,0.0,0.0,0.0,8.209,0.0,0.0,0.0,16.418
25,237232044,1443,9.448,0.0,0.0,0.0,0.0,2.933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.38
26,230127302,1246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.986,0.0,0.0,0.0,0.0,28.986
27,445805961,1710,0.0,0.0,0.0,0.0,1.981,0.662,1.981,1.981,0.0,0.0,0.0,0.0,3.259,9.863
28,199444169,1410,0.0,0.0,0.0,0.0,3.332,1.203,3.332,3.332,0.0,3.332,0.0,0.0,0.0,14.53
29,444415148,1585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.15,0.0,0.0,5.15
30,417931607,1451,0.0,1.69,0.0,0.0,1.69,0.562,1.69,1.69,0.0,0.0,0.0,0.0,2.78,10.102
31,71431780,1723,0.0,0.0,0.0,0.0,0.0,2.121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.121
32,142387023,1824,0.0,0.0,0.0,0.0,0.0,2.181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.181
33,85293053,1772,0.0,0.0,0.0,0.0,0.0,2.465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.465
34,313761775,1526,0.0,0.0,3.222,0.0,3.222,0.0,0.0,3.222,0.0,0.0,0.0,0.0,0.0,9.667
35,233951353,1441,0.0,0.0,0.0,0.0,0.0,2.586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.586
36,441462736,197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.15,0.0,0.0,5.15
37,268334473,1691,0.0,0.0,0.0,0.0,0.0,2.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.727
38,241225337,1727,0.0,0.0,3.058,0.0,3.058,0.92,0.0,3.058,0.0,0.0,0.0,0.0,0.0,10.095
39,159418353,1739,9.494,0.0,0.0,0.0,0.0,2.963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.457
40,326919774,1552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.15,0.0,0.0,5.15
41,368435330,1797,0.0,5.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.15
42,365733349,1288,0.0,0.0,11.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.15
43,9006668,238,4.238,0.0,4.238,0.0,4.238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.713
44,47384844,1022,0.0,5.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.15
45,367607434,1542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.15,0.0,0.0,5.15
46,407966340,554,0.0,5.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.15
47,286916251,1794,0.0,0.0,0.0,0.0,0.0,3.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.05
48,376353509,1648,0.0,0.0,0.0,0.0,0.0,3.269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.269
49,249945230,1563,0.0,0.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3
50,343019899,1386,0.0,0.0,0.0,0.0,0.0,3.678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.678
51,153976959,1435,0.0,0.0,0.0,0.0,0.0,3.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.73
52,287080092,1751,0.0,5.267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.267
,,Totals:,33.902,46.51,40.771,9.592,45.937,45.505,43.756,44.274,40.587,42.666,39.676,0.0,42.653,475.834
