TOI,Priority
278.01,2.0
390.01,1.0
421.01,2.0
460.01,1.0
469.01,3.0
485.01,2.0
507.01,1.0
509.01,1.0
519.01,2.0
526.01,1.0
529.01,3.0
532.01,2.0
538.01,2.0
544.01,2.0
560.01,1.0
561.02,2.0
564.01,2.0
634.01,3.0
635.01,1.0
638.01,2.0
654.01,2.0
656.01,1.0
680.01,1.0
736.01,3.0
737.01,3.0
1135.01,1.0
1136.01,1.0
1136.02,2.0
1144.01,1.0
1173.01,2.0
1179.01,2.0
1201.01,3.0
1238.02,1.0
1242.01,3.0
1243.01,1.0
1254.01,3.0
1256.01,3.0
1276.01,1.0
1278.01,1.0
1285.01,1.0
1288.01,2.0
1289.01,3.0
1339.01,2.0
1410.01,1.0
1412.01,1.0
1413.01,3.0
1416.01,1.0
1419.01,2.0
1423.01,3.0
1430.01,2.0
1436.01,2.0
1442.01,3.0
1448.01,1.0
1449.01,3.0
1459.01,3.0
1473.01,3.0
1474.01,3.0
1598.01,1.0
1632.01,3.0
1634.01,2.0
1638.01,1.0
1639.01,1.0
1646.01,2.0
1681.01,3.0
1683.01,3.0
1685.01,2.0
